model,train_size,train_rmse_mean,train_rmse_std,cv_rmse_mean,cv_rmse_std
Degree 1 — низька складність,24,0.2736103605456271,0.019516418069277,0.335110740849442,0.0658111068835415
Degree 1 — низька складність,38,0.305467150617924,0.0253230842262644,0.3289581488165748,0.0784765725341274
Degree 1 — низька складність,52,0.3099876391548959,0.0214430224177007,0.3163494877549141,0.0658124894192294
Degree 1 — низька складність,67,0.3033331700492289,0.0143274907972094,0.312427762220974,0.0664083423390856
Degree 1 — низька складність,81,0.3038769506349209,0.0183178594507764,0.3102055967762033,0.0649340658454778
Degree 1 — низька складність,96,0.300715085321418,0.014723608225931,0.3085644304037102,0.0587585869403799
Degree 10 — сильне перенавчання,24,7.516244515596641e-13,1.3450543383577765e-12,32.061676142397815,44.11082979017103
Degree 10 — сильне перенавчання,38,5.23681478885889e-11,7.189031186870643e-11,312.3659525938177,157.81423610660673
Degree 10 — сильне перенавчання,52,0.0215727751940119,0.0127852071054046,3288.0097030526827,6101.830321255582
Degree 10 — сильне перенавчання,67,0.0277727451005955,0.0078716383799489,3451.0559685152853,6312.673768851569
Degree 10 — сильне перенавчання,81,0.025258857335336,0.0071591263267421,5292.531831970113,10527.773874697412
Degree 10 — сильне перенавчання,96,0.023201741989474,0.0065760774460655,7278.58129833465,12720.49367056994
