model,train_rmse_mean,cv_rmse_mean,cv_rmse_std,cv_rmse_se,generalization_gap,mean_fit_time_sec
Lasso,0.24719638283557416,0.2710667584010464,0.056902888978465335,0.02544774557439441,0.023870375565472224,0.4207033634185791
ElasticNet,0.24570460120980414,0.2732743310972425,0.05468770957971603,0.0244570872308023,0.027569729887438332,0.3298987865447998
Ridge,0.23552021955549135,0.30040106035221126,0.03571056316456648,0.01597024935015413,0.06488084079671991,0.010082197189331055
LinearRegression,0.02320174198947401,7278.5812983346505,12720.49367056994,5688.77771095004,7278.558096592661,0.007958078384399414
