model,alpha_min,alpha_max,cv_rmse_mean_across_schemes,cv_rmse_std_across_schemes,cv_rmse_min,cv_rmse_max,coef_l2_norm_min,coef_l2_norm_max,nonzero_min,nonzero_max
ElasticNet,0.01,0.01,0.2779041350299303,0.00544123685934386,0.2691292887543602,0.2827349554160752,0.7427525504059207,0.7427525504059207,40,40
Lasso,0.001,0.001,0.2804393257781602,0.006674600555177395,0.2702559931941616,0.2887645787238123,1.3239436428395586,1.3239436428395586,16,16
Ridge,1.0,1.0,0.2869447957303689,0.006226034451705422,0.2770179429632625,0.291848396700864,0.8107165605317037,0.8107165605317037,285,285
