seed,model,alpha,l1_ratio,cv_rmse_mean,cv_rmse_std,coef_l2_norm,nonzero,warning
7,ElasticNet,0.01,0.2,0.27997276293166046,0.011461147118185881,0.7427525504059207,40,None
21,ElasticNet,0.01,0.2,0.27638666587547234,0.039883508322727225,0.7427525504059207,40,None
42,ElasticNet,0.01,0.2,0.26912928875436026,0.05646838523109728,0.7427525504059207,40,None
77,ElasticNet,0.01,0.2,0.28129700217208337,0.0207196590697529,0.7427525504059207,40,None
101,ElasticNet,0.01,0.2,0.28273495541607524,0.023651256767030785,0.7427525504059207,40,None
