threshold,TN,FP,FN,TP,precision,recall,f1,q_t,actions_per_1000,cost,cost_per_object
0.0032137027136714728,0,244,0,240,0.49586776859504134,1.0,0.6629834254143646,1.0,1000.0,244.0,0.5041322314049587
0.003214702713671473,0,244,0,240,0.49586776859504134,1.0,0.6629834254143646,1.0,1000.0,244.0,0.5041322314049587
0.013206071041901614,1,243,0,240,0.4968944099378882,1.0,0.6639004149377593,0.9979338842975206,997.9338842975206,243.0,0.5020661157024794
0.023197439370131755,2,242,0,240,0.4979253112033195,1.0,0.6648199445983379,0.9958677685950413,995.8677685950413,242.0,0.5
0.0331888076983619,2,242,0,240,0.4979253112033195,1.0,0.6648199445983379,0.9958677685950413,995.8677685950413,242.0,0.5
0.04318017602659204,2,242,0,240,0.4979253112033195,1.0,0.6648199445983379,0.9958677685950413,995.8677685950413,242.0,0.5
0.05317154435482218,3,241,0,240,0.498960498960499,1.0,0.665742024965326,0.993801652892562,993.801652892562,241.0,0.49793388429752067
0.06316291268305232,4,240,0,240,0.5,1.0,0.6666666666666666,0.9917355371900827,991.7355371900827,240.0,0.49586776859504134
0.07315428101128246,4,240,0,240,0.5,1.0,0.6666666666666666,0.9917355371900827,991.7355371900827,240.0,0.49586776859504134
0.0831456493395126,4,240,0,240,0.5,1.0,0.6666666666666666,0.9917355371900827,991.7355371900827,240.0,0.49586776859504134
0.09313701766774274,4,240,0,240,0.5,1.0,0.6666666666666666,0.9917355371900827,991.7355371900827,240.0,0.49586776859504134
0.10312838599597288,5,239,0,240,0.5010438413361169,1.0,0.6675938803894298,0.9896694214876033,989.6694214876032,239.0,0.493801652892562
0.11311975432420303,6,238,1,239,0.5010482180293501,0.9958333333333333,0.6666666666666666,0.9855371900826446,985.5371900826447,248.0,0.512396694214876
0.12311112265243317,8,236,1,239,0.5031578947368421,0.9958333333333333,0.6685314685314686,0.981404958677686,981.404958677686,246.0,0.5082644628099173
0.13310249098066332,8,236,1,239,0.5031578947368421,0.9958333333333333,0.6685314685314686,0.981404958677686,981.404958677686,246.0,0.5082644628099173
0.14309385930889346,9,235,1,239,0.5042194092827004,0.9958333333333333,0.669467787114846,0.9793388429752066,979.3388429752066,245.0,0.506198347107438
0.1530852276371236,9,235,1,239,0.5042194092827004,0.9958333333333333,0.669467787114846,0.9793388429752066,979.3388429752066,245.0,0.506198347107438
0.16307659596535373,11,233,1,239,0.5063559322033898,0.9958333333333333,0.6713483146067416,0.9752066115702479,975.2066115702479,243.0,0.5020661157024794
0.17306796429358387,12,232,1,239,0.5074309978768577,0.9958333333333333,0.6722925457102673,0.9731404958677686,973.1404958677687,242.0,0.5
0.183059332621814,13,231,1,239,0.5085106382978724,0.9958333333333333,0.6732394366197183,0.9710743801652892,971.0743801652892,241.0,0.49793388429752067
0.19305070095004415,13,231,1,239,0.5085106382978724,0.9958333333333333,0.6732394366197183,0.9710743801652892,971.0743801652892,241.0,0.49793388429752067
0.20304206927827428,13,231,1,239,0.5085106382978724,0.9958333333333333,0.6732394366197183,0.9710743801652892,971.0743801652892,241.0,0.49793388429752067
0.21303343760650445,13,231,1,239,0.5085106382978724,0.9958333333333333,0.6732394366197183,0.9710743801652892,971.0743801652892,241.0,0.49793388429752067
0.2230248059347346,14,230,1,239,0.509594882729211,0.9958333333333333,0.6741889985895626,0.96900826446281,969.00826446281,240.0,0.49586776859504134
0.23301617426296473,14,230,1,239,0.509594882729211,0.9958333333333333,0.6741889985895626,0.96900826446281,969.00826446281,240.0,0.49586776859504134
0.24300754259119486,15,229,1,239,0.5106837606837606,0.9958333333333333,0.675141242937853,0.9669421487603306,966.9421487603306,239.0,0.493801652892562
0.252998910919425,17,227,1,239,0.5128755364806867,0.9958333333333333,0.6770538243626063,0.9628099173553719,962.8099173553719,237.0,0.4896694214876033
0.26299027924765517,18,226,1,239,0.513978494623656,0.9958333333333333,0.6780141843971632,0.9607438016528925,960.7438016528926,236.0,0.48760330578512395
0.2729816475758853,19,225,1,239,0.5150862068965517,0.9958333333333333,0.6789772727272727,0.9586776859504132,958.6776859504132,235.0,0.4855371900826446
0.28297301590411544,20,224,2,238,0.5151515151515151,0.9916666666666667,0.6780626780626781,0.9545454545454546,954.5454545454546,244.0,0.5041322314049587
0.29296438423234555,21,223,2,238,0.5162689804772235,0.9916666666666667,0.6790299572039943,0.9524793388429752,952.4793388429752,243.0,0.5020661157024794
0.3029557525605757,24,220,2,238,0.519650655021834,0.9916666666666667,0.6819484240687679,0.9462809917355371,946.2809917355371,240.0,0.49586776859504134
0.31294712088880583,25,219,2,238,0.5207877461706784,0.9916666666666667,0.6829268292682926,0.9442148760330579,944.2148760330579,239.0,0.493801652892562
0.322938489217036,25,219,2,238,0.5207877461706784,0.9916666666666667,0.6829268292682926,0.9442148760330579,944.2148760330579,239.0,0.493801652892562
0.33292985754526616,28,216,2,238,0.5242290748898678,0.9916666666666667,0.6858789625360231,0.9380165289256198,938.0165289256198,236.0,0.48760330578512395
0.34292122587349627,32,212,2,238,0.5288888888888889,0.9916666666666667,0.689855072463768,0.9297520661157025,929.7520661157025,232.0,0.4793388429752066
0.35291259420172644,33,211,2,238,0.5300668151447662,0.9916666666666667,0.6908563134978231,0.9276859504132231,927.685950413223,231.0,0.4772727272727273
0.36290396252995655,33,211,2,238,0.5300668151447662,0.9916666666666667,0.6908563134978231,0.9276859504132231,927.685950413223,231.0,0.4772727272727273
